"Rok","Základní","SŠ bez maturity","SŠ s maturitou","Vyšší odborné vzdělání","VŠ I. stupně","VŠ II. stupně","Postgraduální"
"2009","16818","18158","22374","21633","24316","29327","31505"
"2010","15977","17816","22798","22546","27601","30864","32647"
"2011","17457","18129","23451","22094","27790","31918","32856"
"2012","17386","18713","23962","22039","27594","31679","34325"
"2013","16172","18484","23395","23760","27852","31984","34509"
"2014","15998","17928","21780","22254","26187","29703","33302"
"2015","17739","19663","24025","24494","28441","32029","39745"
"2016","20243","21170","26487","26825","30722","34352","41495"
"2017","22418","22850","28940","27849","33516","37978","42046"
"2018","22200","25811","31468","30928","36052","40357","47468"
"2019","27656","26123","34057","34480","39272","44172","48534"
"2020","29738","29537","37438","40790","41335","46226","52736"
